Edge ID	Traversed From to To
884147800801	1
884147800802	1
884147800421	1
884147800422	1
884147800423	1
884147800805	1
884147800804	1
884147800806	1
884147800764	1
884147800776	1
884147800761	1
884147800762	1
884147800760	1
884147800774	1
884147801630	1
884147801640	1
884147801639	1
884147801055	0
884147801054	0
884147801048	0
884147801050	0
884147801049	0
884147801030	1
884147801032	1
884147801031	1
884147801040	1
884147801041	1
884147801033	1
884147801035	1
884147801038	1
884147801039	1
884147801034	1
884147801037	1
884147801042	1
884147801043	1
884147801044	1
884147801045	1
884147801179	0
884147801178	0
884147801176	0
884147801256	0
884147801260	0
884147801264	0
884147801263	0
884147801262	0
884147801261	0
884147801259	0
884147801253	0
884147801246	0
884147801245	0
884147801257	0
884147801258	0
884147801244	0
884147801248	0
884147801247	0
884147801251	0
884147801249	0
884147801254	0
884147801250	0
884147801255	0
884147801252	0
884148400028	0
884148400026	0
884148400027	0
884148400029	0
884148400704	0
884148400702	0
884148400701	0
884148400705	0
884148400706	0
884148400707	0
884148400703	0
884148400709	0
884148400708	0
884148400700	0
884148400699	0
884148400769	0
884148400768	0
884148400770	0
884148400754	0
884148400763	0
884148400771	0
884148400772	0
884148400755	0
884148400757	0
884148400756	0
884148400762	0
884148400751	0
884148400758	0
884148400759	0
884148400760	0
884148400761	0
884148400753	0
884148400752	0
884148400764	0
884148400765	0
884148400766	0
884148400774	0
884148400773	0
884148400767	0
884148401713	0
884148401714	0
884148401721	1
884148401719	1
884148401720	1
884148401721	1
884148400856	0
884148400855	0
884148400859	0
884148400858	0
884148400857	0
884148400847	0
884148400850	0
884148400849	0
884148401090	1
884148401069	1
884148401070	1
884148401722	1
884148400905	1
884148400906	1
884148400903	1
884148400904	1
884148400902	1
884148400889	0
884148400888	1
884148400890	1
884148400892	1
884148400891	0
884148400895	0
884148400894	0
884148400893	0
884148401641	0
884148401685	1
884148401686	1
884148401684	1
884148401459	1
884148401462	1
884148401463	1
884148401467	0
884148401466	0
884148401465	0
884148401464	0
884148401458	0
884148401457	0
884148401461	1
884148401460	1
884148401455	1
884148401456	1
884148401470	0
884148401469	0
884148401476	0
884148401475	0
884148401473	0
884148401477	0
884148401478	0
884148401479	1
884148401474	0
884148401481	0
884148401480	0
884148400223	0
884148400224	1
884148101789	1
884148101791	0
884148101790	0
884148101788	0
884148101165	1
884148101166	1
884148101164	1
884148101163	1
884148101156	1
884148101154	1
884148101155	1
884148101157	1
884148101153	1
884148101159	1
884148101160	1
884148101161	1
884148101162	1
884148101170	1
884148101171	1
884148101752	1
884148101753	1
884148400219	1
884148400218	0
884148400215	1
884148400217	0
884148400216	0
884148400214	0
884148401303	0
884148401305	0
884148401304	0
884148401661	0
884148401663	0
884148401662	0
884148401659	0
884148401277	1
884148401278	1
884148401276	1
884148401265	1
884148400506	1
884148400507	1
884148400318	1
884148400316	1
884148400319	1
884148400321	1
884148400322	1
884148400304	1
884148400307	1
884148400308	1
884148400311	1
884148400314	1
884148400315	1
884148400309	1
884148400310	1
884148400149	1
884148100276	1
884148100277	1
884148100275	1
884148100280	1
884148100279	1
884148100278	1
884148100318	1
884148100317	1
884148100315	1
884148100314	1
884148100316	1
884148100321	1
884148100322	1
884148100311	1
884148100313	1
884148100320	1
884148100319	1
884148100312	1
884148100223	1
884148100231	1
884148100232	1
884148100225	1
884148100235	1
884148100236	1
884148100234	1
884148100222	1
884148100229	1
884148100221	1
884148100230	1
884148100233	1
884148100224	1
884148100226	1
884148100227	1
884148100228	1
884148000992	1
884148000922	1
884148000919	1
884148000925	1
884148000924	1
884148000915	1
884148000916	1
884148000921	1
884148000920	1
884148000914	1
884148000923	1
884148000926	1
884148000927	1
884148000917	1
884148000918	1
884148000958	1
884148000672	1
884148008231	1
884148000980	1
884148000981	1
884148000984	1
884148000985	1
884148000976	1
884148000982	1
884148000983	1
884148000834	1
884148000756	1
884148000757	1
884148000762	1
884148000760	1
884148000761	1
884148000755	1
884148000758	1
884148000759	1
884148000753	1
884148000754	1
884148000763	1
884148000764	1
884148001915	1
884148003734	1
884148003735	1
884148003733	1
884148003732	1
884148003655	1
884148003659	1
884148003660	1
884148003656	1
884148003657	1
884148003658	1
884148003661	1
884148003662	1
884148003650	0
884148003651	1
884148003654	1
884148003652	1
884148002640	1
884148002641	1
884148002642	1
884148002643	1
884148005874	0
884148005876	0
884148002627	0
884148002626	0
884148002625	0
884148003637	0
884148003685	0
884148003684	0
884148002190	0
884148002189	0
884148002188	0
884148002187	0
884148002184	0
884148002183	0
884148002185	0
884148002186	1
884148001196	0
884148001190	0
884148001189	0
884148001188	0
884148001320	0
884148001319	0
884148001318	0
884148001315	0
884148001317	0
884148001316	0
884148001334	0
884148001333	0
884148001332	0
884148001331	0
884148001338	0
884148001337	0
884148001327	1
884148001326	1
884148001058	1
884148001059	1
884148001896	1
884148001907	1
884148001908	1
884148001897	1
884148001898	1
884148001901	1
884148001902	1
884148001895	1
884148001900	1
884148001905	1
884148001906	1
884148001899	1
884148001894	1
884148001903	1
884148001904	1
884148000400	1
884148000401	1
884148000402	1
884130900353	1
884130900356	1
884130900357	1
884130900355	1
884130900351	1
884130900239	1
884130900245	1
884130900244	1
884130900238	0
884130900235	0
884130900234	0
884130900240	0
884130900241	0
884130900421	1
884130900422	1
884130900423	1
884130900424	1
884130902103	1
884130902104	1
884130902105	1
884130902106	1
884130902107	1
884130902108	1
884130900280	1
884130900281	1
884130900274	1
884130900275	1
884130902166	1
884130900291	0
884130902167	1
884130900328	0
884130900327	0
884130901096	1
884130901101	1
884130901102	1
884130901097	1
884130901098	1
884130901099	1
884130901100	1
884130901104	1
884130901105	1
884130901103	1
884130900885	1
884130900887	1
884130900886	1
884130900136	1
884130900143	1
884130900142	1
884130900137	1
884130900139	1
884130900140	1
884130900138	1
884130900135	1
884130900141	1
884130900144	1
884130900134	1
884130900133	1
884130900132	1
884130302928	1
884130302927	1
884130302926	1
884130302925	1
884130302924	1
884130302922	1
884130302923	1
884130302921	1
884130305338	1
884130305332	1
884130304014	0
884130304011	1
884130304015	1
884130304016	1
884130302616	0
884130302615	0
884130302608	0
884130302634	1
884130302630	1
884130304019	1
884130304020	1
884130304294	1
884130304295	1
884130304293	1
884130303372	1
884130303374	1
884130303375	1
884130303384	1
884130303385	1
884130303386	1
884130303045	0
884130303046	0
884130303053	0
884130303052	0
884130303039	0
884130303037	0
884130303038	0
884147400506	0
884147402233	1
884147402249	1
884147402250	1
884147402231	1
884147402230	1
884147402236	1
884147402247	1
884147402248	1
884147402239	1
884147402237	1
884147402238	1
884147402243	1
884147402234	1
884147402235	1
884147402251	1
884147402252	1
884147400488	1
884147400487	0
884147400482	1
884147400481	1
884147400483	1
884147400484	1
884147400477	1
884147400476	1
884147400479	1
884147400478	1
884147400470	1
884147400471	1
884147400472	0
884147400473	0
884147400474	1
884147400475	0
884147402091	0
884147402092	0
884147402093	1
884147402095	1
884147402094	0
884147402500	1
884147402499	1
884147402493	1
884147400722	1
884147400721	1
884147400699	1
884147400698	1
884147400640	1
884147400641	1
884147400639	1
884147400708	1
884147407420	1
884147407419	1
884147407418	1
884147407417	1
884147407425	1
884147407424	1
884147407407	1
884147407406	1
884147407408	1
884147407409	1
884147407410	1
884147407411	1
884147407402	1
884147407401	1
884147407404	1
884147407405	1
884147407403	1
884147500201	1
884147503773	1
884147503774	1
884148100205	1
884148100198	1
884148100199	1
884148100197	1
884147503766	1
884147503767	1
884147503737	1
884147503738	1
884147503740	1
884147503741	1
884147503707	1
884147503710	1
884147503708	1
884147503709	1
884147503712	1
884147503711	1
884147503713	1
884148100136	1
884148100135	1
884148100134	1
884148100133	1
884148100138	1
884148100137	1
884148100132	1
884148103696	1
884148103697	1
884148103698	1
884148103699	1
884148400275	1
884148400274	1
884148400273	1
884148400272	1
884148404256	1
884148404254	1
884148401846	1
884148401845	1
884148401844	1
884148400013	1
884148400012	1
884148400011	1
884148400009	1
884148400022	1
884147801155	1
884147801156	1
884147801153	1
884147801154	1
884147800845	1
884147800842	1
884147800843	1
884147800892	0
