Date (UTC)	Time (UTC)	Latitude	Longitude		
17-Jan-2009	20:27:37	47.66748333	-122.1070833		
17-Jan-2009	20:27:38	47.6675	-122.1070667		
17-Jan-2009	20:27:39	47.6675	-122.1070667		
17-Jan-2009	20:27:40	47.66751667	-122.1070333		
17-Jan-2009	20:27:41	47.66753333	-122.1069833		
17-Jan-2009	20:27:42	47.66753333	-122.1069167		
17-Jan-2009	20:27:43	47.66751667	-122.1068333		
17-Jan-2009	20:27:44	47.66751667	-122.1067333		
17-Jan-2009	20:27:45	47.66751667	-122.1066		
17-Jan-2009	20:27:46	47.66751667	-122.1064667		
17-Jan-2009	20:27:47	47.66751667	-122.1063333		
17-Jan-2009	20:27:48	47.66751667	-122.1062		
17-Jan-2009	20:27:49	47.66751667	-122.1060667		
17-Jan-2009	20:27:50	47.66751667	-122.10595		
17-Jan-2009	20:27:51	47.66751667	-122.1058333		
17-Jan-2009	20:27:52	47.66751667	-122.1057		
17-Jan-2009	20:27:53	47.66751667	-122.1055833		
17-Jan-2009	20:27:54	47.66751667	-122.1054667		
17-Jan-2009	20:27:55	47.66751667	-122.10535		
17-Jan-2009	20:27:56	47.66751667	-122.1052167		
17-Jan-2009	20:27:57	47.66751667	-122.1051		
17-Jan-2009	20:27:58	47.66751667	-122.105		
17-Jan-2009	20:27:59	47.66753333	-122.1048667		
17-Jan-2009	20:28:00	47.66753333	-122.10475		
17-Jan-2009	20:28:01	47.66753333	-122.1046167		
17-Jan-2009	20:28:02	47.66753333	-122.1044833		
17-Jan-2009	20:28:03	47.66753333	-122.1043333		
17-Jan-2009	20:28:04	47.66753333	-122.1041833		
17-Jan-2009	20:28:05	47.66753333	-122.1040333		
17-Jan-2009	20:28:06	47.66753333	-122.1038667		
17-Jan-2009	20:28:07	47.66753333	-122.1036667		
17-Jan-2009	20:28:08	47.66753333	-122.1034667		
17-Jan-2009	20:28:09	47.66753333	-122.1032667		
17-Jan-2009	20:28:10	47.66751667	-122.1030833		
17-Jan-2009	20:28:11	47.66751667	-122.1029167		
17-Jan-2009	20:28:12	47.66751667	-122.10275		
17-Jan-2009	20:28:13	47.66751667	-122.1026333		
17-Jan-2009	20:28:14	47.66751667	-122.1025167		
17-Jan-2009	20:28:15	47.66753333	-122.1024167		
17-Jan-2009	20:28:16	47.66753333	-122.1023333		
17-Jan-2009	20:28:17	47.66755	-122.1022833		
17-Jan-2009	20:28:18	47.66755	-122.1022667		
17-Jan-2009	20:28:19	47.66755	-122.1022667		
17-Jan-2009	20:28:20	47.66755	-122.1022667		
17-Jan-2009	20:28:21	47.66755	-122.1022667		
17-Jan-2009	20:28:22	47.66755	-122.1022667		
17-Jan-2009	20:28:23	47.66755	-122.1022667		
17-Jan-2009	20:28:24	47.66755	-122.1022667		
17-Jan-2009	20:28:25	47.66755	-122.1022667		
17-Jan-2009	20:28:26	47.66755	-122.1022667		
17-Jan-2009	20:28:27	47.66755	-122.1022667		
17-Jan-2009	20:28:28	47.66755	-122.1022667		
17-Jan-2009	20:28:29	47.66755	-122.1022667		
17-Jan-2009	20:28:30	47.66755	-122.1022667		
17-Jan-2009	20:28:31	47.66755	-122.1022667		
17-Jan-2009	20:28:32	47.66756667	-122.1022667		
17-Jan-2009	20:28:33	47.66756667	-122.1022667		
17-Jan-2009	20:28:34	47.66756667	-122.1022667		
17-Jan-2009	20:28:35	47.66756667	-122.1022667		
17-Jan-2009	20:28:36	47.66756667	-122.1022667		
17-Jan-2009	20:28:37	47.66756667	-122.1022667		
17-Jan-2009	20:28:38	47.66756667	-122.1022667		
17-Jan-2009	20:28:39	47.66756667	-122.1022667		
17-Jan-2009	20:28:40	47.66756667	-122.1022667		
